id,findingId,sampleItemId,url,context
be07bb20-c5d1-47fe-b069-28d008f8668d,f69e22d0-f9b9-4adf-a267-d1732475968f,371c0a0c-33fa-43b5-a06f-8d9fb1e807c0,,
028b11c0-7eca-4d3c-92f9-d35964c182ed,239f82a4-1fa2-4c84-86bc-bbb18706ac8d,2e968013-d635-4754-8c2e-f5a07192cd7c,,
d963ccab-d8a7-4aac-a234-22829b34c8fe,2db7f95d-4f23-47d9-9288-f868aa9628a0,7cbe8a97-c4e4-496b-b579-84c6e447af44,,
2b66d9c8-e5ce-4115-960e-4d7391ec2419,9c5a7771-b370-4479-9481-518202dcb3f0,7cbe8a97-c4e4-496b-b579-84c6e447af44,,
84bcaa17-2380-430f-b0d4-aa877dc1f884,e6d1b91b-44ea-4f23-bfe4-e7dc46050df1,c2b395e2-1124-417e-ba72-013fe6e6a5ae,,
a9c2fc1c-0ef2-49a8-9a26-1ace07cd93f3,9093b067-829d-4afa-b17a-402e8a5d45cb,7cbe8a97-c4e4-496b-b579-84c6e447af44,,
6838052b-8a27-49ae-961e-3c0e3782e04d,bee50d1c-31d2-4c4b-a622-ae09256b3ac6,371c0a0c-33fa-43b5-a06f-8d9fb1e807c0,,
61cc68d0-1123-4750-ac56-fb79dce2e722,3c8327c1-4269-4d16-8ccf-d1a8b7e91b50,20721737-1d23-4155-b902-2776e6dbd5a6,,
d76d1995-dce5-464a-a7e2-15dcbe8d0b1e,6d2c1c9c-091e-47c2-92c0-1c163db2fcaf,c74f69d5-721b-4f65-a2b3-cee0570eac46,,
1d840744-744f-4c5b-9007-9b2c3d55e133,8e1a4e46-98b0-4abd-b3b9-0ee4ef45576f,d41db11e-093a-498c-aa2a-251f302ae94e,,
3f5e5c50-d0be-42d4-b1b4-e1c1f1d3479e,e0d8bd97-427b-4314-af31-5b8b818bc731,d41db11e-093a-498c-aa2a-251f302ae94e,,
cbc395fb-2026-4309-933a-7b6e7400ffc4,c2014214-63ad-45d1-be47-4c38b81bc411,d41db11e-093a-498c-aa2a-251f302ae94e,,
17f4472b-ae66-470f-8866-381720ed38bb,d195bf41-f5ce-4fc6-9c63-7ac654dddf9d,c74f69d5-721b-4f65-a2b3-cee0570eac46,,
b35586de-4187-426b-a854-794385bb90d2,15a6330b-856e-40e1-ab4e-af1ae5fc008e,d41db11e-093a-498c-aa2a-251f302ae94e,,
8d3b4730-4bbb-41fb-92a1-79ee0adc3024,6dcc2555-8ce4-47e1-a1a0-7d36c8cdf1b6,d41db11e-093a-498c-aa2a-251f302ae94e,,
8a9d9ce1-091e-40b8-b765-2a5a5d675667,56848120-9760-4e4b-98c0-9e76f0b22a46,5cfc11c3-82f4-4959-9eec-e1f04529e84e,,
1fb23c51-4fe1-4cd8-b9f6-a05c3d48168a,4b7532c6-7feb-4ffe-99b4-c8854c1c75ee,f9f2396d-88f6-4d49-b25a-67cebbf03928,,
290ff844-687c-4436-8056-f9aba6992435,e063b61e-55ed-4045-aadc-207aa6ed3f94,d41db11e-093a-498c-aa2a-251f302ae94e,,
4f5f3e0e-c325-41f2-b1ac-5feca34c068a,41c6a696-f549-469f-96e9-8f9636175b80,22622112-2c1d-45ca-bdbd-7d3e25a9fe01,,
5e220454-3aba-4ba2-a5f6-8fed17b71919,40c82290-5214-4e74-8ded-623ea2f3ee97,ff94dd74-974b-42e8-967c-6c0c30313108,,
1c057524-dfda-4787-9c5c-551b78975d8f,624f71fa-bd24-4f6e-8c17-d4f469094d81,b4a0fc55-ede4-4ba7-9884-9ca682ada0dc,,
41011073-c0a7-4efc-85ae-2690beca44ea,e4e573b4-e27f-4062-90eb-6ff1524b4168,0cc375c3-c4e2-4c56-88cd-f0987030b273,,
2c29a9c7-b926-4f0a-a5a3-06a8733069eb,879b4a56-c6d0-4066-843e-543c15285a77,adc79cf1-3e62-448f-a43e-95006a75bee1,,
2d3dabd7-4bf4-4ecb-834b-67ce3c1d233f,2f06b863-23fa-4277-a86d-97a66e813009,8e513a8c-b6dc-4b6d-80f2-0858719a8100,,
474506c0-e2f9-4c04-a9c0-5bcdbc58cec9,4879d36e-0d5d-48fa-9dab-313ef83516da,c2b395e2-1124-417e-ba72-013fe6e6a5ae,,
34cf7af7-a3d2-4503-9077-454019fc2a1c,7253b56c-02ca-4d51-81fb-cf63d2e6ee59,ff94dd74-974b-42e8-967c-6c0c30313108,,
