id,title,description,advice,criterionCode,keywords,crawler,crawlerTestId,status,impact,responsibility,createdAt,updatedAt
78f9b4be-1eca-4178-8f39-1106babf9807,Afbeelding zonder tekstalternatief,"Op de pagina staat een afbeelding in een img-element. Deze afbeelding heeft geen tekstalternatief. Omdat deze afbeelding informatief is, is dat wel verplicht.","Voorzie deze afbeelding van een beschrijvend tekstalternatief, bijvoorbeeld via het title-element.",1.1.1,,true,testImgMissingAlt,,serieus,redacteur,Sun Feb 01 2026 15:20:38 GMT+0100 (Midden-Europese standaardtijd),Sun Feb 01 2026 15:20:38 GMT+0100 (Midden-Europese standaardtijd)
97a0112b-8a26-47bf-8aae-49f1f26ba037,Informatieve SVG zonder tekstalternatief,"Op pagina URL staat een afbeelding in een SVG-element. Deze afbeelding heeft geen tekstalternatief. Omdat deze afbeelding informatief is, is dat wel verplicht.","Voorzie deze SVG van een beschrijvend tekstalternatief, bijvoorbeeld via het title-element.",1.1.1,,true,testInformativeSvgWithoutText,,klein,redacteur,Sun Feb 01 2026 15:20:38 GMT+0100 (Midden-Europese standaardtijd),Sun Feb 01 2026 15:20:38 GMT+0100 (Midden-Europese standaardtijd)
2e6b5742-4008-4cba-ab4b-2fc7107eff1f,Te lang alt-attribuut,Op de pagina heeft een afbeelding een zeer lang alt-attribuut (meer dan 125 tekens). Voor screenreader gebruikers is dit vervelend omdat ze een lange beschrijving moeten aanhoren voordat ze verder kunnen.,Kort het alt-attribuut in tot maximaal 125 tekens. Plaats eventuele langere beschrijvingen in de omliggende tekst of gebruik aria-describedby voor aanvullende context.,1.1.1,,true,testImgAltTooLong,,klein,redacteur,Sun Feb 01 2026 15:20:38 GMT+0100 (Midden-Europese standaardtijd),Sun Feb 01 2026 15:20:38 GMT+0100 (Midden-Europese standaardtijd)
d1b3afe2-ee3e-4462-8a4b-44765b8ee128,Decoratieve afbeelding zonder lege alt-tekst,"Op de pagina staat een decoratieve afbeelding die geen informatie toevoegt. Deze afbeelding heeft een tekstalternatief, terwijl dat niet nodig is. Screenreader gebruikers horen onnodige informatie.","Voorzie decoratieve afbeeldingen van een leeg alt-attribuut (alt="""") zodat screenreaders deze overslaan.",1.1.1,,true,testDecorativeImgWithoutEmptyAlt,,klein,redacteur,Sun Feb 01 2026 15:20:38 GMT+0100 (Midden-Europese standaardtijd),Sun Feb 01 2026 15:20:38 GMT+0100 (Midden-Europese standaardtijd)
61ee10c2-cc5e-4c71-a120-1e4935640ffd,Tabel zonder headers,Op de pagina staat een tabel zonder table headers (th-elementen). Hierdoor kunnen screenreader gebruikers niet begrijpen wat de relatie is tussen de cellen.,Voorzie de tabel van table header cellen (th) en gebruik eventueel scope-attributen om de relatie aan te geven.,1.3.1,,true,testTableWithoutHeaders,,serieus,ontwikkelaar,Sun Feb 01 2026 15:20:38 GMT+0100 (Midden-Europese standaardtijd),Sun Feb 01 2026 15:20:38 GMT+0100 (Midden-Europese standaardtijd)
45eafa51-d75a-47f1-af74-2f7878a73213,Iframe zonder accessible name,Op de pagina staat een iframe-element zonder accessible name. Screenreader gebruikers kunnen hierdoor niet begrijpen wat de inhoud van het iframe is.,Voorzie het iframe van een title-attribuut of aria-label met een beschrijvende naam.,4.1.2,,true,testIframeMissingAccessibleName,,matig,ontwikkelaar,Sun Feb 01 2026 15:20:38 GMT+0100 (Midden-Europese standaardtijd),Sun Feb 01 2026 15:20:38 GMT+0100 (Midden-Europese standaardtijd)
5a6fa27d-4d1b-4918-94f1-d4c562f82f20,Pagina mist lang-attribuut,De pagina heeft geen lang-attribuut op het html-element. Hierdoor weten screenreaders en andere hulpmiddelen niet in welke taal de pagina is geschreven.,"Voeg een lang-attribuut toe aan het html-element met de juiste taalcode, bijvoorbeeld lang=""nl"" voor Nederlands.",3.1.1,,true,testLangAttributeMissing,,serieus,ontwikkelaar,Sun Feb 01 2026 15:20:38 GMT+0100 (Midden-Europese standaardtijd),Sun Feb 01 2026 15:20:38 GMT+0100 (Midden-Europese standaardtijd)
30c8ca1e-3624-421b-9c2c-9420eec90bbe,PDF - Afbeeldingen niet-getagde PDF,"Op de pagina staat een link naar een PDF-bestand. Deze PDF is niet getagd, waardoor screenreader gebruikers de inhoud niet kunnen lezen.",Zorg ervoor dat de PDF getagd is met de juiste structuur-elementen. Gebruik Adobe Acrobat of een vergelijkbaar programma om de PDF toegankelijk te maken.,1.1.1,,true,testLinkIsPDFTest,,kritiek,redacteur,Sun Feb 01 2026 15:20:38 GMT+0100 (Midden-Europese standaardtijd),Sun Feb 01 2026 15:20:38 GMT+0100 (Midden-Europese standaardtijd)
b10717d1-7685-4926-986f-62b1ec14fac9,Video zonder keyboard toegankelijkheid,"Op de pagina staat een video player die niet volledig bedienbaar is met het toetsenbord. Gebruikers die geen muis kunnen gebruiken, kunnen de video niet afspelen, pauzeren of de instellingen aanpassen.","Zorg ervoor dat alle video controls (play, pause, volume, ondertiteling) toegankelijk zijn via het toetsenbord. Test met Tab, Enter, en Spatiebalk.",2.1.1,,true,testIframeIsVimeoVideoWithKeysDisabledTest,,serieus,ontwikkelaar,Sun Feb 01 2026 15:20:38 GMT+0100 (Midden-Europese standaardtijd),Sun Feb 01 2026 15:20:38 GMT+0100 (Midden-Europese standaardtijd)
21bf5617-1b5f-4d57-b863-2b8b7950dddf,Onduidelijke linktekst,"Op de pagina staan links met onduidelijke teksten zoals ""klik hier"", ""lees meer"" of ""hier"". Voor screenreader gebruikers die door links navigeren, is het onduidelijk waar deze links naartoe leiden.","Gebruik beschrijvende linkteksten die ook buiten context duidelijk zijn. Bijvoorbeeld: ""Lees meer over toegankelijkheid"" in plaats van ""Lees meer"".",2.4.4,,false,,,matig,redacteur,Sun Feb 01 2026 15:20:38 GMT+0100 (Midden-Europese standaardtijd),Sun Feb 01 2026 15:20:38 GMT+0100 (Midden-Europese standaardtijd)
